"x","y"
"-18663.803","43789.72"
"-5432.563","33273.82"
"-12559.561","131439.58"
"-7307.1562","33815.11"
"-12173.0205","27217.6"
"-6720.203","30016.395"
"-7014.426","34545.44"
"-5219.0396","40004.035"
"-7002.004","34396.39"
"-16804.832","44408.79"
"-5229.7305","39986.63"
"-13458.516","28909.422"
"-12279.505","42435.934"
"-11614.887","36328.414"
"-5132.8574","32494.725"
"-12190.436","32469.451"
"-5877.2046","33944.652"
"-16590.354","39016.53"
"-16542.78","38033.92"
"42.971596","29684.4"
"-18300.752","11113.967"
"-9567.699","10706.179"
"-9527.556","11114.131"
"-10951.041","12105.79"
"-8804.179","20292.52"
"-574.7648","-5865.468"
"-1959.2274","-5597.9326"
"73.02764","-5676.376"
"-894.95013","1344.8691"
"5032.724","-6584.2114"
"-7718.8745","-712.97577"
"5032.372","-6635.864"
"6317.539","-6010.759"
"-4301.618","-6543.2656"
"-7460.6123","-4.710024"
"4782.243","-6760.1924"
"-7449.738","-25.191658"
"-7435.044","47.617836"
"-7496.6714","325.72147"
"-7965.111","97.02916"
"-7681.4473","27.969635"
"0","0"
"-11995.455","-1520.904"
"-7434.6606","109.90708"
"-7434.6606","109.90708"
"-10844.315","-8818.474"
"-9379.471","10172.127"
"47234.254","-75623.33"
"-6303.9897","-9067.326"
"0","0"
"-675.54266","-180.61745"
"-1265.4332","135.43828"
"12929.939","-1318.4479"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"-3129.8628","-1549.7008"
"-3092.1738","-1516.4792"
"-3640.6853","-1953.1414"
"-3771.105","-1951.2839"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"3161.8127","-2551.7812"
"2477.369","-1607.0334"
"0","0"
"0","0"
"-2519.2454","-1589.4507"
"2192.71","-1819.2593"
"0","0"
"-3956.0789","-1290.7958"
"-3811.8718","-1161.2358"
"-4130.4224","-1342.7181"
"-3169.9744","-1518.1189"
"-4279.617","-1380.2751"
"-3521.6897","-1539.5801"
"0","0"
"0","0"
"0","0"
"2713.6982","-1783.2329"
"-1285.4122","-1631.0457"
"-4737.3066","-1230.0647"
"-3187.6038","-1581.8585"
"1430.7162","-1573.5322"
"-2434.7222","1218.0863"
"-3762.6638","-2065.2173"
"2873.984","-1733.0037"
"-2820.9058","-1913.4559"
"-1272.918","-744.933"
"2309.5837","-1553.4023"
"-2932.7607","-1071.3933"
"-2544.4397","-1346.403"
"-779.1752","-1469.2607"
"41.352024","-2415.2778"
"0","0"
"0","0"
"2797.5825","-1761.9229"
"1184.5891","-1727.7587"
"0","0"
"-2908.214","-1475.6334"
"0","0"
"1794.351","-2322.439"
"-70654.164","-2701.6794"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"-1496.3633","-640.55536"
"-21685.14","7540.827"
"87001.18","14540.661"
"361.34348","-1880.144"
"166.44783","-1921.2703"
"-860.8522","928.2859"
"-4167.814","26414.967"
"-11511.417","14368.779"
"0","0"
"-11154.977","-3297.252"
"0","0"
"-18768.064","3465.692"
"-1152.6079","-55.11953"
"0","0"
"-755.0672","-234.17184"
